Pengguna,Waktu,Ulasan
l*****w,"2025-08-21 13:28 | Variasi: SC-732,3 METER","Hmm panjang kabel tidak sesuai tapi okelah, trus lubang colokannya cepet longgar, buah ngecas hape longgar, tapi untuk colokan setrika magic com pas"
,"2023-07-03 07:27 | Variasi: SC-734,3 METER",Bahannyabkokoh dan tidak ringkih. Mantap.
,"2025-06-24 14:34 | Variasi: SC-734,5 METER",
o*****6,"2025-04-26 16:12 | Variasi: SC-733,5 METER",Paket sudah sampai dan sudah diterima barang Dateng sesuai dengan pesanan ukuran pas dan colokannya berfungsi semua semoga awet
e*****8,"2025-02-26 09:55 | Variasi: SC-733,5 METER",Pengiriman cepat realpic terima kasih seller kurir dan Shopee
,"2025-06-11 13:01 | Variasi: SC-734,5 METER",Mantap co pas diskon dpt harga mumer
,"2026-04-12 18:18 | Variasi: SC-734,10 METER",
a*****a,"2025-05-01 19:09 | Variasi: SC-734,5 METER","Barang diterima dengan baik dan sesuai, terima kasih seller dan kurir"
,"2024-05-06 17:54 | Variasi: SC-734,10 METER","Barang sudah sampai dan panjang yang pas nyampe kamar aku 
Terima kasih"
,"2023-08-01 17:34 | Variasi: SC-732,10 METER, SC-733,5 METER, SC-733,1.5 METER",
,"2025-05-21 15:52 | Variasi: SC-735,10 METER, SC-735,5 METER",
n*****h,"2025-06-08 19:49 | Variasi: SC-734,10 METER","Barangnya mantap, sangat keren, sangat berguna sekali, pokonya ga nyesel beli ini, keren abis, ga ada yg nandingin, a nyesel deh beli disini, mantap juritap, anaku seneng banget, stecu ppopo maripopo tiktok facebookk , instagram"
h*****i,"2025-06-28 11:56 | Variasi: SC-735,5 METER","Barang berfungsi semua, tidak ada yg mati, terimakasih"
s*****i,"2026-02-02 08:57 | Variasi: SC-733,3 METER",
,"2025-04-20 18:56 | Variasi: SC-735,10 METER","Terima kasih pesanan sudah sampai 🙏
Semoga awet dan berkualitas aamiin 🙏"
,"2025-06-18 20:31 | Variasi: SC-734,5 METER",
,"2025-05-17 13:06 | Variasi: SC-733,5 METER, SC-732,5 METER",Terima kasih kak paket nya SDH sampai dan sesuai ekspektasi 🥰🙏
v*****9,"2025-05-02 08:04 | Variasi: SC-733,5 METER","Bagus, kabelnya panjang dan berfungsi dg baik"
o*****n,"2025-03-26 13:14 | Variasi: SC-734,10 METER",Untuk harga segitu rekomen deh men temen siap saji ko
a*****4,"2025-05-18 18:49 | Variasi: SC-735,10 METER","Sesuai pesanan dan berfungsi dengan baik semoga awet, pengiriman juga cepat ☺"
,"2025-05-10 10:36 | Variasi: SC-732,1.5 METER",Rekomendasi murah barang cepat sampai😍
m*****d,"2025-06-23 10:04 | Variasi: SC-735,5 METER","Produk baik, packing rapih, pengiriman cepat
Thanks seller dan shopeee"
h*****4,"2024-09-29 00:56 | Variasi: SC-733,5 METER","sudah sampai, pengirimannya lumayan cepatt jugaaaa
sukak deh barangnyaa, panjangnya pas, claimnya si kuningan asli+SNI semoga aja beneran yaa, semoga awet dan tahan si, baguss and worth to buyy guys 😍😍😍😍😍😍😍😍😍😍😍"
,"2025-02-05 21:22 | Variasi: SC-733,1.5 METER","Pket nya sudh datang
Harga murah
Pengemasan baik
Pengiriman 2 hr
Stop kontak nya bgus td sudah di coba
Semoga awet
Kurir ramah
Terima kasih"
,"2023-07-12 14:33 | Variasi: SC-735,5 METER","Barang sudah diterima dengan baik dan selamat.
Barang sesuai dengan harapan dan keinginan.
Barang dikemas dengan baik, bubble wrapnya tebal.
Terima kasih."
,"2025-04-27 11:54 | Variasi: SC-734,5 METER","Barang datang sesuai pesenan ku 👍👍 
Barang ORI harga murah , toop pokoknya"
,"2025-03-26 07:41 | Variasi: SC-735,1.5 METER, SC-734,3 METER, SC-735,3 METER","Bagus, tebal dan langsung menyala, sesuai dgn deskrpsi"
t*****e,"2024-05-28 19:13 | Variasi: SC-733,1.5 METER","Packing aman banget tebel cuma minus ada yg pecah ,🥴 di bagian belakang , tapi nyala semua udah di coba"
d*****i,"2023-07-11 18:23 | Variasi: SC-733,10 METER","Bagus menurut saya, sudah saya coba satu persatu dan berfungsi dengan baik. Hanya saja untuk keawetan semoga sesuai harapan. Terimakasih untuk seller, semoga senantiasa amanah, dan responsible😄"
,"2024-02-12 17:59 | Variasi: SC-733,10 METER",Bagus dan menyala dengan baik. Berguna banget buat anak kosan yang stock kontak nya cuma sebiji 😌
r*****a,"2025-06-24 15:29 | Variasi: SC-735,5 METER",
,"2025-03-09 13:13 | Variasi: SC-733,5 METER","Barang sudah di terima, panjang 5m dengan harga yg murah, terimakasih seller"
m*****o,"2024-05-06 12:54 | Variasi: SC-732,1.5 METER",Berfungsi dg baik. Parah ini sih sellernya gercep bgt.. Pesen kemaren langsung dikirim dan hari ini sampe. Disaat pesanan yg lain masih dikemas.. Alhamdulillah tau aja urgent. Dapet harga promo. Reguler berasa sameday.. Pengemasan jg amna bgt tebel buble plus dus. Sukak deh. Ekspedisi jg kilat bgt spx Sukses selalu. Seller Sukses selalu.
f*****t,"2024-06-12 18:49 | Variasi: SC-733,3 METER, SC-732,1.5 METER",ok bagus. smoga berfungsi dgn baik.
,"2025-06-11 10:23 | Variasi: SC-735,3 METER, SC-732,3 METER, SC-735,5 METER",Semuanya sesuai pesanan
,"2025-05-08 18:59 | Variasi: SC-734,3 METER",Fungsi nya baik digunakan pas untuk mancas hp dan lain-lain
k*****y,"2025-05-15 18:15 | Variasi: SC-734,5 METER","Barang sampai dg selamat, sesuai dg pesanan, barang berfungsi normal"
,"2023-06-05 14:26 | Variasi: SC-734,5 METER","bagus, recomended, di pakai nyetrika tiap hari aman."
r*****5,"2024-09-13 11:34 | Variasi: SC-734,3 METER, SC-733,3 METER",
s*****4,"2025-02-19 22:44 | Variasi: SC-735,3 METER","Pulang kerja langsung unboxing. Langsung dicoba, alhamdulillaah nyala. Meakipun agak harus diteken dikit yaa colokannya, tapi berfungsi dengan baik, tombolnya juga nyala. Terima kasih seller ^^"
,"2026-04-06 09:16 | Variasi: SC-734,5 METER",Makasih kaa sesuai deskripsi dan worth it dengan harganya
,"2025-09-17 08:26 | Variasi: SC-732,1.5 METER","Fast respon penjualnya, produk yang di jual sesuai deskripsi, bagus bagus, seller rekomended. Terimakasih semoga bermanfaat untuk semuanya. Jazaakumullahu khairan"
,"2025-06-07 21:19 | Variasi: SC-735,5 METER",Alhmdulillah paket udah nyampe rumah dengan selamat terimakasih tokonya semoga sukses selalu dan tetap amanah ya bosku
,"2025-03-24 10:38 | Variasi: SC-732,5 METER","sampai dgn aman, barang nya berfungsi/Menyala, pengiriman cepat."
,"2025-05-26 07:59 | Variasi: SC-734,1.5 METER",Barang kuat dan baik fungsi kelas
s*****8,"2024-02-03 13:24 | Variasi: SC-734,3 METER","sipp paketnya sudah diterima, packing aman, cepet dikirim, sesuai pesanan, brg berfungsi, trims👍"
a*****6,"2025-03-11 20:30 | Variasi: SC-732,5 METER","Pngiriman agak lama karena ada sedang puasa
Paket dikirim dengan selamat packing rapi aman"
,"2025-12-02 17:32 | Variasi: SC-735,1.5 METER","Alhamdulillah udh sampai paketnya, alhamdulillah berfungsi dengan baik jg"
,"2025-06-28 20:20 | Variasi: SC-734,5 METER",Build quality oke
,"2025-07-07 17:30 | Variasi: SC-733,1.5 METER",normal semua seneng banget secepat kilat sampeknya CO payment lgsg di  serahkan ke jasa kirim jadi lgsg Bisa d pakek d saat urgent
,"2025-05-09 00:51 | Variasi: SC-733,1.5 METER","inii jugaa paket yang paling cepet sampenyaa, worth it lahh tapii aku kira 1,5 meter panjang tapii ga terlalu panjang sii tapii okee lahh *soalnya first time beli colokan kek ginii hehe"
,"2025-05-15 14:53 | Variasi: SC-733,3 METER, SC-734,3 METER",Sesuai pesanan muantap👍
n*****r,"2026-02-23 08:14 | Variasi: SC-733,5 METER",
,"2025-03-29 17:47 | Variasi: SC-734,5 METER",Barang sampai dengan baik tetapi belum dicoba semoga berfungsi terimakasih
,"2025-09-04 10:10 | Variasi: SC-734,3 METER","Alhamdulillah pamet sudah sampai, mantul endulita produk berfungsi dg baik, makasih seller, Shopee dan mas kirirnya."
,"2026-04-07 10:44 | Variasi: SC-732,3 METER",
,"2023-10-11 13:41 | Variasi: SC-732,3 METER, SC-732,5 METER",Semua bisa berfungsi dengan baik dan ukurannya juga telah sesuai dengan yang dipesa
z*****g,"2024-08-03 12:50 | Variasi: SC-734,3 METER","Produk sudah dicoba dan berfungsi dengan baik. Pengiriman cepat, packaging aman dan rapi"
,"2025-10-26 08:27 | Variasi: SC-733,1.5 METER","Berfungsi dengan baik 
Barang sesuai dengan deskripsi 
Panjang cukup memuaskan untuk penggunaan sehari-hari"
d*****5,"2024-08-14 17:31 | Variasi: SC-735,10 METER",
,"2025-06-04 20:28 | Variasi: SC-733,1.5 METER","Alhamdulillah paketnya udh sampai, bsa langsung di pakai colokannya dan berfungsi dengan sangat baik semua lubang colokannya, alhamdulillah toko nya amanah, sukses selalu ya buat toko nya"
,"2025-07-26 17:44 | Variasi: SC-733,5 METER",
l*****g,"2023-06-07 16:18 | Variasi: SC-735,5 METER",Barangnya sdh di terima berfungsi dgn baik hrg nya juga murah...makasih seller.............
,"2025-07-24 20:41 | Variasi: SC-734,5 METER, SC-733,5 METER",Bagus banget ini colokannya beda dari yang lain recomended banget ini
,"2025-04-26 21:24 | Variasi: SC-734,5 METER",Packaging aman dan bekerja dengan baik
,"2025-04-30 07:47 | Variasi: SC-734,10 METER","Barangnya bagus, berfungsi. Pengiriman cepat."
p*****8,"2023-10-26 16:37 | Variasi: SC-734,1.5 METER","barang sudah sampai, berfungsi dengan baik. Terimakasih olshop dan kurir"
,"2025-08-12 06:53 | Variasi: SC-733,3 METER",
j*****5,"2024-12-17 19:09 | Variasi: SC-732,1.5 METER","Pesanan sudah saya terima dengan baik, bagus, semoga awet, terima kasih kak"
a*****z,"2026-04-12 08:42 | Variasi: SC-734,3 METER","Nahh gini nih kalo apa apa di shoppe beli nya yg (mall) ke aslian terjamin, udh pasti bgus sih, pokonya i like deh"
,"2024-07-22 11:36 | Variasi: SC-735,10 METER",Barang sampai tujuan dengan selamat 😍
,"2025-05-20 12:50 | Variasi: SC-735,5 METER","Alhamdulillah barang, yang sudah saya terima Bagus san sesuai ekspektasi.
Makasih seller"
y*****1,"2026-01-28 16:56 | Variasi: SC-732,5 METER","Bagus banget stop kontaknya, ga mudah rusak juga, kayaknya bakalan awet bangett, packingannya juga oke banget👍"
,"2023-04-27 10:18 | Variasi: SC-734,1.5 METER",Recommended banget untuk Buyer...
d*****0,"2025-05-09 18:48 | Variasi: SC-734,5 METER","Selalu langganan ditoko ini, colokannya awettt amaaan👍 pengiriman nya gercepp sekalii."
d*****a,"2023-04-06 22:25 | Variasi: SC-732,3 METER","Sayangnya colokannya beberapa ada yang susah untuk dicolok, agak keras dan sedikit maksa"
,"2026-04-13 06:29 | Variasi: SC-732,3 METER, SC-733,1.5 METER",
,"2025-02-23 09:06 | Variasi: SC-733,1.5 METER",Baik
,"2025-10-17 16:32 | Variasi: SC-735,10 METER",Bagus semoga awet
w*****2,"2025-06-03 11:30 | Variasi: SC-732,5 METER","Dengan harga segitu kehitung terjangkau banget sih, semoga awet yaa"
y*****l,"2024-01-21 14:57 | Variasi: SC-734,3 METER",Semoga awet terima kasih!
,"2025-04-30 17:03 | Variasi: SC-734,1.5 METER",Terimakasih 🙏. Paket 📦sudah saya Terima dengan baik.. Mhn maaf baru sempat nilai
g*****t,"2023-06-21 21:22 | Variasi: SC-733,10 METER","Pengiriman cepet, produknya baguss"
s*****9,"2025-12-05 11:16 | Variasi: SC-734,3 METER",bagus semestinya
y*****k,"2026-03-09 19:30 | Variasi: SC-735,10 METER",mantap sesuai dengan ekspektasi
,"2025-05-07 12:19 | Variasi: SC-735,10 METER, SC-733,3 METER","Sudah sampai dengan aman,,,pengiriman cepat...manatap"
,"2026-02-03 08:17 | Variasi: SC-734 HITAM,5 METER",
,"2025-03-19 17:13 | Variasi: SC-734,5 METER",Kebetulan dapat diskon
,"2026-04-10 14:42 | Variasi: SC-732,10 METER","Alhamdulillah.. paket udah saya terima dengan baik, barang real pick sesuai dengan pesanan dan hasil yang sangat memuaskan 👍👍👍"
p*****5,"2025-04-28 20:03 | Variasi: SC-733,3 METER","Alhamdulillah barangnya sesuai, dan berfungsi untuk kabel Rollnya, terimakasih buat tokonya 🙏🙏🙏"
,"2025-09-28 16:15 | Variasi: SC-734,5 METER","Udah dicoba, lobangnya ga kendor, dan bisa digunakan buat listrik"
,"2023-07-11 10:27 | Variasi: SC-732,1.5 METER","Barang sudah sampai, bagus, sesuai harga, packing rapi dan aman, pengiriman cepat, thanks seller"
j*****k,"2025-06-22 17:57 | Variasi: SC-735,3 METER",harusnya pesennya yang 5m😅
,"2025-09-19 16:37 | Variasi: SC-735,10 METER",
m*****6,"2024-03-06 20:47 | Variasi: SC-733,3 METER",Mantap
p*****i,"2025-12-05 07:05 | Variasi: SC-733,5 METER",Paket dtg sesuai pesanan beroperasi dg baik dapat voucher langsung co alhamdulillah memuaskan
,"2023-07-17 21:38 | Variasi: SC-733,5 METER","Berfungsi dengan baik, semoga awet. Pengiriman cepat, terima kasih."
,"2026-02-19 19:45 | Variasi: SC-732,10 METER",Terimakasih paket sudah sampai dengan baik
t*****i,"2023-12-28 18:50 | Variasi: SC-734,3 METER","Semoga awet sampe lama ya, thanks seller"
,"2025-07-25 18:11 | Variasi: SC-733,10 METER",Mantap
,"2023-07-22 12:23 | Variasi: SC-733,10 METER",Alhamdulillah barang sudah sampai dengan selamat. Colokannya juga sudah dicoba dan alhamdulillah bekerja dengan baik. Semoga awet😊
,"2025-04-28 19:35 | Variasi: SC-732,1.5 METER","produk memuaskan. 
harga murah
seller  gercep. 
thanks ya seller"
,"2025-12-14 18:49 | Variasi: SC-733,10 METER",
,"2025-04-29 13:35 | Variasi: SC-734,5 METER","Harga murah, berfungsi dengan baik dan kabelnya panjang"
i*****e,"2024-07-04 06:41 | Variasi: SC-735,3 METER",Made in Indonesia bagus bgt kualitas produk nya. Ringan. Awet
m*****2,"2025-06-24 23:38 | Variasi: SC-734,3 METER",Pengiriman cepat dan sangat berguna terimakasih min saya suka
,"2024-12-20 08:47 | Variasi: SC-735,5 METER",bagus selalu beli barang disini
,"2025-10-09 09:52 | Variasi: SC-733,1.5 METER","Produknya sangat bagus, harganya juga sangat terjangkau lebih murah daripada offline, Berfungsi dengan baik sesuai deskripsi, semua colokannya nyala, bahannya kokoh dan ga kopong, coloknya juga kenceng. Mantaplah"
,"2025-05-03 13:31 | Variasi: SC-735,1.5 METER",Alhamdulillah paket sudah sampai dengan selamat pengemasan apik harganya terjangkau sudah dipasangkan dan berfungsi dengan baik semoga awet karena tokonya mall terimakasih
,"2026-03-30 07:47 | Variasi: SC-732 HITAM,1.5 METER","Berfungsi normal semoga awet dan tahan lama ternyata 1,5 meter masih kurang"
,"2024-08-29 18:01 | Variasi: SC-733,10 METER","Mantap sesuai gambar, sesuai harga, murah tapi tidak murahan 
Semoga awettt ❤️"
,"2025-05-09 20:24 | Variasi: SC-732,1.5 METER",Real pict. Recommend. Next order again. Thanks seller 🙂
,"2026-01-21 01:37 | Variasi: SC-735,10 METER","Sudah diterima sesuai dengan pesanan, sudah dipasang dan berfungsi dengan baik, Cocok untuk alat elektronik ringan lampu dsb, respon dan proses sangat baik, terima kasih untuk Shopee dan Seller"
1*****_,"2023-07-30 05:39 | Variasi: SC-734,5 METER","Pengiriman cepatProduk sesuai pesanan,packing aman,Produk dapat digunakan dengan baik,thanks seller"
,"2023-08-19 16:00 | Variasi: SC-733,1.5 METER","Sorry to say ya saya kasih bintang 1. Baru dtg langsung di unboxing dan coba untuk di colokin dan taraaaaa keluar percikan api di stop kontaknya dan listrik dirumah langsung turun. Padahal stop kontaknya di colokin tanpa ada colokan lain di stop kontaknya ya. Masih mending kalo listriknya bisa di naikin lagi, bener bener mati listrik dong gila kali, sampe akhirnya manggil petugas PLN dan Alhamdulillah bisa di benerin. Ga lagi lagi beli di online dan murah, memang bener ada harga ada kualitas. Atau kebetulan aja lagi apes jadi ya mungkin pembeli yg lain gada masalah, masalahnya cuma di rumah saya."
a*****o,"2025-06-04 06:48 | Variasi: SC-733,1.5 METER","Barang sudah sampai dengan aman, packingnya bagus, kualitas terbaik 👍"
,"2025-05-04 20:30 | Variasi: SC-733,5 METER","Baguss, bisa dipake, murah dan panjang😌 kualitasnya oke pokoknya worth to buy"
,"2025-06-09 17:51 | Variasi: SC-732,3 METER",Mendarat dengan selamat barang bagus pengiriman cepat sesuai lah sama harga🥰
,"2024-07-28 13:58 | Variasi: SC-734,10 METER",Sesuai pesanan
,"2024-09-15 18:59 | Variasi: SC-733,3 METER","alhamdulillah
paket sudah tiba 
pengemasan sangat baik 
jumlah sesuai 
terima kasih seller 
terima kasih kurir"
,"2025-04-06 09:30 | Variasi: SC-735,3 METER",good all
,"2024-01-08 16:23 | Variasi: SC-734,3 METER","Pengiriman cepet, bubblewarnya juga tebel, semua lobang berfungsi dengan baik, semoga awet. Thankyou"
,"2024-07-09 09:50 | Variasi: SC-732,3 METER, SC-732,1.5 METER",
,"2025-06-03 06:42 | Variasi: SC-735,5 METER",
x*****x,"2023-10-14 20:31 | Variasi: SC-733,3 METER","Bagus sesuai harga lah, semoga awet, pengeriman cepat"
b*****5,"2026-03-29 18:32 | Variasi: SC-734,3 METER",produk dikemas dengan baik aman pembelin yang kesekian kalinya merek cahaya berfungsi dengan baik
b*****3,"2025-05-01 13:10 | Variasi: SC-734,5 METER","Paket diterima dengan baik, packing aman. Barang berfungsi dengan baik. Rekomendasi banget belanja di sini. Hrg super murah, kualitas terjamin. Tq seller"
,"2025-03-02 18:57 | Variasi: SC-735,5 METER",
,"2026-01-29 11:42 | Variasi: SC-733,1.5 METER",Bagus sesuai...
s*****8,"2026-01-04 15:13 | Variasi: SC-734,10 METER, SC-733,5 METER",Berfungsi dengan baik. Puas pokoknya
,"2025-04-26 09:44 | Variasi: SC-734,5 METER","Alhamdulillah stop kontak merk cahaya 5 lubang 5 meter,telah saya terima dan berfungsi dengan baik.terimakasih shopee dan tokonya amanah."
,"2023-08-20 14:59 | Variasi: SC-734,5 METER","Seller responsif, pengiriman cepat, paking aman bouble warp nya tebel bangt"
m*****d,"2025-09-10 21:56 | Variasi: SC-734,5 METER","Pengiriman cepat, packing rapih, barang baik, thanks seller dan shopeee"
r*****3,"2025-06-03 17:27 | Variasi: SC-735,10 METER",Sesuai sama deskripsi terimakasih kak
d*****t,"2023-07-07 11:01 | Variasi: SC-732,3 METER",Bagus banget buat extend ke lantai yang gak bisa di jangkau
a*****5,"2025-04-03 18:02 | Variasi: SC-732,5 METER",Sesuai pesanan. Mantap. Moga awet. Makasih semuanya. Belum dicoba
,"2025-03-24 11:12 | Variasi: SC-735,3 METER",Pengiriman cepat mantappp!!
s*****3,"2023-10-06 21:41 | Variasi: SC-735,5 METER",Bagus banget banyak bbw nya terus sudah sni jadi aman makasih ya
h*****n,"2024-03-30 09:03 | Variasi: SC-735,10 METER","Sayang lubang colokan yg pertama ga bs dipakai ga bs masuk, tapi 4 colokan yg lain berfungsi normal.
Thanks seller"
,"2025-12-19 05:36 | Variasi: SC-734,3 METER",
,"2026-04-04 17:19 | Variasi: SC-734,3 METER, SC-734,1.5 METER",
a*****1,"2026-04-04 21:05 | Variasi: SC-734 HITAM,5 METER",
,"2024-05-08 20:02 | Variasi: SC-735,5 METER","Rekomendasi ya say colokannya ,Harganya murah dibanding beli offline ditoko 👍👍👍 mantul"
m*****n,"2025-05-27 08:43 | Variasi: SC-733,1.5 METER",Bagus pokoknya nanti akan beli lagi produk terjamin kualitasnya bagus banget pokoknya nanti akan ada yang buka
r*****1,"2026-04-12 12:02 | Variasi: SC-733 HITAM,3 METER",Alhamdulillah paket sudah mendarat dan sudah diterima. Paket sesuai dengan pesanan. Packinganya rapi. Pengirimannya standar lah... makasi seller..👍
,"2025-05-01 20:30 | Variasi: SC-733,3 METER",
,"2026-01-18 15:50 | Variasi: SC-732,3 METER","paket sudah diterima dengan baik
terima kasih dan sukses selalu"
,"2025-09-18 18:22 | Variasi: SC-733,1.5 METER",
,"2025-07-07 17:17 | Variasi: SC-735,10 METER",Toko amanah & sangat Recommend untuk berlangganan
,"2023-09-14 15:09 | Variasi: SC-733,10 METER",mantaph inih pas bangeth pengirimannyah sefath
,"2025-09-30 04:53 | Variasi: SC-733,10 METER",ada tombol untuk on/off jadi aman ketika ada anak kecil dirumah
,"2026-04-14 19:22 | Variasi: SC-732,5 METER",Barang aman sudah datang sesuai pesanan panjang 5M.. terima kasih ya sukses
,"2025-10-04 14:21 | Variasi: SC-735,5 METER",mantaap murah tp ngga murahan
h*****i,"2025-10-28 05:57 | Variasi: SC-733,10 METER","Fungsi bekerja dengan sempurna 
Panjang cukup memuaskan untuk penggunaan"
,"2025-05-24 17:04 | Variasi: SC-733,3 METER",Bagua
v*****r,"2024-01-27 16:23 | Variasi: SC-733,10 METER",Pengiriman dan pengemasan cepat. Packingan super aman. Stop kontaknya udh dicoba dan menyala dengan baik. Hanya saja kalau dipakai buat charger handphone agak longgar. But over all it's good. Thank you
,"2026-04-06 23:50 | Variasi: SC-734,3 METER","Kabel rol yang berguna untuk elektronik, panjangnya pas, bahannya juga bagus, berfungsi dengan baik, terima kasih"
a*****1,"2023-08-19 21:17 | Variasi: SC-734,5 METER",SEMOGA Awet!! Baguss barang nyaa
n*****u,"2026-04-10 10:28 | Variasi: SC-734 HITAM,3 METER","bagus berfungsi dgn baik alhamdulillah bismillah awet stop kontak nyaa, terima kasih ya sukses selalu"
,"2025-03-20 16:34 | Variasi: SC-733,1.5 METER",barang nya sudah diterima dengan baik
a*****6,"2025-05-16 18:49 | Variasi: SC-732,1.5 METER, SC-735,10 METER",
,"2024-01-30 18:46 | Variasi: SC-735,10 METER","Trimakasih barang sudah sampai cepat sekali pengiriman nya,,barang juga ok berfungsi dengan baik"
,"2024-10-02 14:04 | Variasi: SC-733,5 METER",Alhamdulillah barang sudah sampai. Terimakasih seller dan shopee. Ke dua kalinya saya beli dari produk cahaya ini. Bagus dan awet. 👍
,"2025-12-11 18:57 | Variasi: SC-734,3 METER",Terimakasih
,"2025-06-23 17:29 | Variasi: SC-733,3 METER",alhamdulillah barangnya sampai dengan selamat dang berfungsi dengan baik 👍
,"2025-06-04 21:04 | Variasi: SC-735,3 METER","Pesenan sesuai, pernah beli merk yg sama awet bgtt sampe bertahun² wlpn tiap hari dipake, smoga kali ini awet jugaa. Terimakasih, sukses slaluu 🙌🏻"
,"2023-10-12 15:52 | Variasi: SC-735,10 METER",barang oke berfungsi dengan baik packing sangat aman pengiriman juga sangat cepat
r*****8,"2024-08-17 08:59 | Variasi: SC-734,5 METER","Pengemasan gercep, pengiriman gercep... harga murmer. Terima kasih shop"
,"2025-05-23 21:24 | Variasi: SC-732,1.5 METER",
,"2025-05-09 11:17 | Variasi: SC-734,3 METER",
,"2025-06-20 19:15 | Variasi: SC-735,5 METER",harga murah semurah murah...mantep pokoknya mah...
,"2024-03-27 13:37 | Variasi: SC-734,10 METER",Barang bagus. Kabel tebal dan panjang. Kuat.
,"2025-04-27 12:51 | Variasi: SC-734,5 METER, SC-734,10 METER",Alhamdulillah makasih kk g kecewa beli ditoko kk aku ukuran 5mtr sama 10meter dpt harga 48 sukses lancar buat toko kk
,"2026-03-02 21:52 | Variasi: SC-735,10 METER","bagus sekali, ini saya mau beli lagi, karna saya beli tapi nya kepanjangan, syaau beli yg panjang 5 meter"
,"2025-05-18 05:56 | Variasi: SC-732,1.5 METER","Barang sudah diterima, packing aman dan rapi, kiriman juga cepat, terima kasih seller..."
,"2024-09-08 10:24 | Variasi: SC-733,5 METER",Dapat berfungsi dengan baik
m*****3,"2025-12-29 15:52 | Variasi: SC-733,1.5 METER",Sangat membantu aktifitas sehari-hari yg berhubungan dengan colokan
m*****i,"2024-12-31 10:10 | Variasi: SC-735,10 METER",Berfungsi dgn baik
,"2024-12-16 19:35 | Variasi: SC-733,10 METER",Trimkasih sesuai pesanan sya. Nti sya pesan kembali👍
,"2025-05-02 21:42 | Variasi: SC-733,5 METER",
,"2025-08-01 11:57 | Variasi: SC-733,5 METER, SC-732,5 METER",
s*****1,"2026-01-01 19:06 | Variasi: SC-732,1.5 METER","Bagus stop kontaknya, murah tapi ber sni, semoga awet dan bisa tahan lama"
,"2025-03-14 13:52 | Variasi: SC-732,5 METER","Bagus sih sesuai , tapi sayang ada retak retak gitu terus kaya patah , tapi gapapa kok ga ngaruh juga cuman retak kecil , kaya nya pas lagi pengiriman ga sengaja ke banting atau apa mungkin makasih ya barang nya bagus"
v*****2,"2024-10-24 08:18 | Variasi: SC-733,3 METER","Barang datang dengan selamat, yg dikirim sesuai pesanan, pengiriman terhitung cepat, puas belanja disini amanah, next order disini lagi pokok'nya 👍🏼"
m*****0,"2024-02-05 13:51 | Variasi: SC-733,5 METER","ini pembelian kesekian nya barang nya pada ori2 dn awet2 mantep, tingkatkan terus yaa kualitas nya. thanks"
,"2025-06-27 17:43 | Variasi: SC-734,5 METER",Alhamdulillah
,"2023-08-12 22:35 | Variasi: SC-735,10 METER",Barangnya sudah sampai dan menyala dengan bagus. Sejauh ini aman sih colokannya juga kencang GK mudah longgar
,"2023-08-23 14:38 | Variasi: SC-735,10 METER","Bagus banget kabel ny, panjang 10 m bisa buat kemana mana dapat, smua nyala d lubang lubang nya,, nanti beli lagi di toko ini, amanah , MANTUL trimakasih cahaya, shoppe and kurir the best 😍👍🙏"
,"2026-03-05 17:00 | Variasi: SC-734,1.5 METER",Pengiriman cepet
,"2024-04-15 15:40 | Variasi: SC-732,5 METER","Belum di coba...
Semoga semuanya bisa berfungsi dengan baik..."
,"2023-09-18 20:00 | Variasi: SC-732,3 METER",bekerja dengan baik
,"2023-07-11 20:05 | Variasi: SC-732,10 METER, SC-735,5 METER, SC-732,5 METER","Oke sesuai pesanan,
Barang berfungsi, pokoknya rekomend dah 👍
Semoga awet. Terimakasih"
m*****2,"2025-04-19 03:33 | Variasi: SC-734,5 METER",Sudah berkali kali beli dan semua berfungsi dengan baik. Packing aman lapis Bubble. Terima kasih.
v*****2,"2024-09-13 20:43 | Variasi: SC-735,10 METER","Barang datang dengan selamat, yg dikirim sesuai pesanan, pengiriman terhitung cepat, puas belanja disini amanah, next order disini lagi pokok'nya 👍🏼"
a*****8,"2024-07-06 06:36 | Variasi: SC-735,3 METER","Barang sesuai deskripsi, dikirim tepat waktu dan harga sangat terjangkau
Recommend toko ini..next beli lagi"
,"2025-03-22 10:15 | Variasi: SC-732,1.5 METER, SC-733,1.5 METER","Pembelian kedua, barang sesuai dengan foto dan deskripsi, berfungsi dengan baik, pengemasan aman"
,"2025-04-08 23:14 | Variasi: SC-733,5 METER, SC-734,5 METER, SC-732,5 METER, ...","Pesanan sesuai,jumlah tak kurang,harga juga bersaing cocok untuk jual kembali"
,"2026-01-27 16:27 | Variasi: SC-734,3 METER","Barang sampai sesuai pesanan, pengiriman baik. Terima kasih"
,"2023-12-26 17:22 | Variasi: SC-734,3 METER",Beli aja gaussh mikir
,"2025-05-29 16:28 | Variasi: SC-734,10 METER",
m*****h,"2026-01-02 11:29 | Variasi: SC-734,1.5 METER",Fungsi untuk cas berbagai macam hp panjangnya seperti jalan panjang di jakbar penerangannya bisa menerangi isi hati pengiriman cepat murah meriah
a*****x,"2025-12-02 23:31 | Variasi: SC-734,3 METER",bagus buat tambahan stop kontak casan 3 meter 👍
,"2024-10-01 15:14 | Variasi: SC-733,3 METER",Sudah datang barang sesuai dengan yang dipesan
,"2025-08-07 05:40 | Variasi: SC-733,5 METER","Kabel berkualitas, terminal berkualitas, mantap"
